Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Diversity Spotlight (US Headquarters Only),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Program,School Type,School Method,Number of Enrollments,Number of Founders (Alumni),Number of Alumni,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events
Blackberry,https://www.crunchbase.com/organization/blackberry,"Embedded Systems, Hardware, Mobile, Telecommunications","Waterloo, Ontario, Canada",BlackBerry provides wireless devices and solutions for the worldwide mobile communications market.,459,Great Lakes,,$100M to $500M,Active,1984-01-01,day,2014-11-19,day,,,For Profit,https://www.blackberry.com/en,,,13,13,5,,4,4,,,,,,,,,,"Hardware, Mobile, Science and Engineering, Software",2,"Douglas Fregin, Mike Lazaridis",10001+,1,IPO,2013-11-04,1000000000,USD,1000000000,Post-IPO Equity,1000000000,USD,1000000000,Post-IPO Equity,1000000000,USD,1000000000,1000000000,USD,1000000000,Fairfax Financial Holdings,,1,29,Made Acquisitions,,,,,,,,,,,,Public,2014-11-19,,,,,,,,,BB,https://www.crunchbase.com/ipo/blackberry-ipo--9dc1b7e8,SWX - SIX Swiss Exchange,2020-03-03,,45
Axis Bank,https://www.crunchbase.com/organization/axis-bank,"Banking, Financial Services, Insurance, Wealth Management","Mumbai, Maharashtra, India","Axis Bank is a banking institution offering commercial, corporate and retail banking, and treasury operations.",461,Asia-Pacific (APAC),,$10M to $50M,Active,1993-12-03,day,2000-09-29,day,,,For Profit,http://www.axisbank.com,,,16,20,10,,4,4,,,,,,,,,,"Financial Services, Lending and Investments",1,Manoj Agrawal,10001+,3,IPO,2017-12-19,116260000000,INR,1814934730,Post-IPO Equity,116260000000,INR,1814934730,Post-IPO Equity,121660000000,INR,1932079106,121660000000,INR,1932079106,"LIC, Bain Capital, Chrys Capital, Court Square Capital Partners",3,4,2,Made Acquisitions,,,,,,,,,,,,Public,2000-09-29,,,,,,,,,AXISBANK,https://www.crunchbase.com/ipo/axis-bank-ipo--709ac432,NSE - National Stock Exchange of India,2020-02-27,,
Amryt Pharma,https://www.crunchbase.com/organization/amryt-pharma,"Biopharma, Life Science, Medical, Pharmaceutical","Dublin, Dublin, Ireland",Amryt Pharma creates and delivers innovative treatments to help patients with rare and orphan diseases live better lives.,461,European Union (EU),,$10M to $50M,Active,2012-01-01,day,2012-06-22,day,,,For Profit,http://www.amrytpharma.com,,,,,,,,,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",1,Joseph Wiley,251-500,2,M&A,2022-02-22,125000000,USD,125000000,Post-IPO Debt,,,,,,,,146333333,USD,146333333,"European Investment Bank, Ares Management",2,2,3,"Made Acquisitions, Was Acquired",Amryt Pharma acquired by Chiesi Pharmaceuticals,https://www.crunchbase.com/acquisition/chiesi-pharmaceuticals-acquires-amryt-pharma--556333a1,Chiesi Pharmaceuticals,https://www.crunchbase.com/organization/chiesi-pharmaceuticals,2023-01-08,day,1250000000,USD,1250000000,Acquisition,Cash,Public,2012-06-22,,,,,,,,,AMYT,https://www.crunchbase.com/ipo/amryt-pharma-ipo--20391f77,LSE - London Stock Exchange,2022-06-27,,
Replit,https://www.crunchbase.com/organization/replit,"Cloud Computing, Developer Tools, Information Technology, Software","San Francisco, California, United States",Replit is a browser-based integrated development environment for cross-platform collaborative coding.,463,"San Francisco Bay Area, West Coast, Western US","Middle Eastern / North African Founded, Middle Eastern / North African Led, Women Founded",$1M to $10M,Active,2016-01-01,year,,,,,For Profit,https://replit.com,,,,,,,,,,,,,,,,,,"Information Technology, Internet Services, Software",3,"Amjad Masad, Faris Masad, Haya Odeh",101-250,7,Early Stage Venture,2021-12-09,80000000,USD,80000000,Series B,80000000,USD,80000000,Series B,104620000,USD,104620000,104620000,USD,104620000,"Andreessen Horowitz, Y Combinator, Reach Capital, Coatue, SV Angel",4,14,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,1
Forge,https://www.crunchbase.com/organization/forge-global,"Finance, Financial Services, FinTech, Marketplace, Trading Platform","San Francisco, California, United States","Forge is a global private securities marketplace creating an accessible, liquid, and transparent private market.",464,"San Francisco Bay Area, West Coast, Western US",Women Founded,$10M to $50M,Active,2014-01-01,month,2022-03-22,day,,,For Profit,https://forgeglobal.com,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Financial Services, Lending and Investments",4,"Andrea Lamari, Gil Silberman, Samvit Ramadurgam, Sohail Prasad",251-500,11,IPO,2022-03-22,68500000,USD,68500000,Post-IPO Equity,68500000,USD,68500000,Post-IPO Equity,357000000,USD,357000000,357000000,USD,357000000,"Temasek Holdings, Draper Associates, Tim Draper, ION, Panorama Point Partners",7,33,2,Made Acquisitions,,,,,,,,,,,,Public,2022-03-22,,,215600000,USD,215600000,2000000000,USD,2000000000,FRGE,https://www.crunchbase.com/ipo/forge-global-ipo--1e1be23c,NYSE - New York Stock Exchange,2022-07-15,,2
Life360,https://www.crunchbase.com/organization/life360,"Android, Apps, Family, Mobile, Mobile Apps","San Francisco, California, United States",Life360 creates a mobile app for families that helps families feel closer together.,466,"San Francisco Bay Area, West Coast, Western US",,$100M to $500M,Active,2008-01-01,year,2019-05-10,day,,,For Profit,http://www.life360.com,,,,,,,,,,,,,,,,,,"Apps, Community and Lifestyle, Mobile, Platforms, Software",3,"Alex Haro, Chris Hulls, Dilpreet Singh",101-250,18,IPO,2022-11-21,50000000,AUD,33038257,Post-IPO Equity,50000000,AUD,33038257,Post-IPO Equity,156175247,USD,156175247,158725247,USD,158725247,"Google, 500 Global, ADT, Plug and Play, StartX (Stanford-StartX Fund)",7,47,7,Made Acquisitions,,,,,,,,,,,,Public,2019-05-10,,,145430000,AUD,101813217,818000000,AUD,572668720,360,https://www.crunchbase.com/ipo/life360-ipo--ba098887,ASX - Australian Securities Exchange,2022-01-26,2023-01-13,1
EnsoData,https://www.crunchbase.com/organization/ensodata,"Analytics, Artificial Intelligence, Health Care, Machine Learning, Software","Madison, Wisconsin, United States",EnsoData is a startup that utilizes artificial intelligence to analyze the human body to diagnose health conditions.,467,"Great Lakes, Midwestern US","Hispanic / Latine Founded, Hispanic / Latine Led",$1M to $10M,Active,2015-01-01,year,,,,,For Profit,https://www.ensodata.com,,,,,,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software",4,"Brock Hensen, Chris Fernandez, Nick Glattard, Sam Rusk",11-50,6,Early Stage Venture,2022-04-27,20000000,USD,20000000,Series A,20000000,USD,20000000,Series A,31050000,USD,31050000,31050000,USD,31050000,"Inspire Medical Systems, Healthbox, Dreamit Ventures, gbeta, M25",7,15,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2022-11-25,,
Bluevine,https://www.crunchbase.com/organization/bluevine,"Banking, Finance, Financial Services, FinTech, Small and Medium Businesses","Redwood City, California, United States",Bluevine empowers small businesses with innovative banking products designed for them.,468,"San Francisco Bay Area, Silicon Valley, West Coast",,$50M to $100M,Active,2013-07-01,month,,,,,For Profit,http://www.bluevine.com,,,1,1,1,,,,,,,,,,,,,"Financial Services, Lending and Investments, Other",3,"Eyal Lifshitz, Moti Shatner, Nir Klar",501-1000,16,,2020-09-09,75000000,USD,75000000,Debt Financing,1651000,USD,1651000,Venture - Series Unknown,289151000,USD,289151000,769151000,USD,769151000,"Credit Suisse, Rakuten, Kima Ventures, Bank Leumi, Lightspeed",9,25,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2022-02-08,,8
Bounce,https://www.crunchbase.com/organization/metro-bikes,"Last Mile Transportation, Recreational Vehicles, Rental, Ride Sharing","Bangalore, Karnataka, India",Bounce develops and provides a smart mobility solution that makes daily commute time-saving and stress-free.,469,Asia-Pacific (APAC),,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,https://bounceshare.com,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Transportation",3,"Anil G, Varun Agni, Vivekananda Hallekere",501-1000,9,Late Stage Venture,2020-03-03,6500000,USD,6500000,Debt Financing,105000000,USD,105000000,Series D,196222965,USD,196222965,214176422,USD,214176422,"Accel, Alpha Wave Global, Qualcomm Ventures, InnoVen Capital, Navi Technologies",7,17,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,2023-01-06,
Sun King,https://www.crunchbase.com/organization/greenlight-planet,"Clean Energy, Consumer, Renewable Energy, Solar","Nairobi, Nairobi Area, Kenya","Sun King sells, installs and finances solar home systems for the 1.8 billion off-grid and under-electrified consumers.",470,,,,Active,2007-01-01,year,,,,,For Profit,https://www.sunking.com/,,,,,,,,,,,,,,,,,,"Energy, Natural Resources, Other, Sustainability",3,"Anish Thakkar, Mayank Sekhsaria, T. Patrick Walsh",1001-5000,8,Late Stage Venture,2022-12-15,70000000,USD,70000000,Series D,70000000,USD,70000000,Series D,402000000,USD,402000000,567000000,USD,567000000,"LeapFrog Investments, Citi, responsAbility, Deutsche Bank, FMO",5,21,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,1
Camino Financial,https://www.crunchbase.com/organization/camino-financial,"Artificial Intelligence, Commercial Lending, Credit, Financial Services, FinTech, Small and Medium Businesses","Los Angeles, California, United States",Camino Financial is an online finance company that offers business loans and wealth-building solutions to help small businesses grow.,472,"Greater Los Angeles Area, West Coast, Western US","Hispanic / Latine Founded, Hispanic / Latine Led",$1M to $10M,Active,2014-01-01,year,,,,,For Profit,http://www.caminofinancial.com/,,,,,,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Financial Services, Lending and Investments, Other, Science and Engineering, Software",2,"Kenneth Salas, Sean Salas",101-250,12,Early Stage Venture,2022-04-07,150000000,USD,150000000,Debt Financing,,,,Series A,10750000,USD,10750000,170350000,USD,170350000,"Collaborative Fund, Community Investment Management, Impact America Fund, DILA Capital, LAT VC",4,9,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2022-04-19,,
Battery Smart,https://www.crunchbase.com/organization/battery-smart,"Automotive, Battery, Consumer, Electric Vehicle","New Delhi, Delhi, India",Battery Smart is an EV battery-swapping network that provides advanced Li-ion batteries for electric two and three-wheelers.,473,Asia-Pacific (APAC),,$1M to $10M,Active,2019-11-01,month,,,,,For Profit,https://www.batterysmart.in,,,,,,,,,,,,,,,,,,"Energy, Other, Transportation",2,"Pulkit Khurana, Siddharth Sikka",51-100,4,Early Stage Venture,2022-12-14,750000000,INR,9091376,Debt Financing,1925000000,INR,24628729,Series A,31628730,USD,31628730,40720107,USD,40720107,"BlackSoil, Tiger Global Management, Blume Ventures, Orios Venture Partners, Stride Ventures",5,15,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
Scipher Medicine,https://www.crunchbase.com/organization/scipher-medicine,"Alternative Medicine, Biotechnology, Genetics, Health Care, Health Diagnostics","Waltham, Massachusetts, United States",Scipher Medicine develops a healthcare platform designed to determine which drug will work best for each patient.,473,"Greater Boston Area, East Coast, New England",,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,https://www.sciphermedicine.com,,,,,,,,,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",2,"Albert László Barabasi, Joseph Loscalzo",101-250,6,Late Stage Venture,2022-02-24,110000000,USD,110000000,Series D,110000000,USD,110000000,Series D,227000000,USD,227000000,227000000,USD,227000000,"Neuberger Berman Group, Alumni Ventures, Optum Ventures, Northpond Ventures, Hitachi Ventures",5,13,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,2021-11-16,,
Airbnb,https://www.crunchbase.com/organization/airbnb,"Hospitality, Marketplace, Mobile Apps, Travel, Travel Accommodations","San Francisco, California, United States","Airbnb is an online community marketplace for people to list, discover, and book accommodations through mobile phones or the internet.",474,"San Francisco Bay Area, West Coast, Western US",,$1B to $10B,Active,2008-08-11,day,2020-12-10,day,,,For Profit,http://airbnb.com,,,18,18,12,1,2,2,,,,,,,,,,"Apps, Commerce and Shopping, Mobile, Software, Travel and Tourism",3,"Brian Chesky, Joe Gebbia, Nathan Blecharczyk",5001-10000,31,IPO,2020-12-01,,,,Undisclosed,,,,Undisclosed,4398132065,USD,4398132065,6423132065,USD,6423132065,"Silver Lake, Citi, Andreessen Horowitz, Sequoia Capital, Apollo",15,83,25,Made Acquisitions,,,,,,,,,,,,Public,2020-12-10,,,3488400000,USD,3488400000,47000000000,USD,47000000000,ABNB,https://www.crunchbase.com/ipo/airbnb-ipo--571e6fbf,NASDAQ,2021-09-20,2022-05-24,32
Aave,https://www.crunchbase.com/organization/ethlend,"Blockchain, Cryptocurrency, Ethereum, Financial Services, FinTech, Lending, Open Source, Peer to Peer","London, England, United Kingdom",Aave is an open source non-custodial protocol on Ethereum for decentralized lending and borrowing.,474,,,,Active,2017-05-01,day,,,,,For Profit,https://www.aave.com,,,,,,,,,,,,,,,,,,"Financial Services, Other, Payments, Software",1,Stani Kulechov,11-50,9,,2022-02-04,,,,Secondary Market,25000000,USD,25000000,Venture - Series Unknown,49000000,USD,49000000,49000000,USD,49000000,"Google, Blockchain Capital, IBM, Three Arrows Capital, COIND",6,19,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2022-07-11,,13
Stripe,https://www.crunchbase.com/organization/stripe,"Finance, FinTech, Mobile Payments, SaaS","San Francisco, California, United States",Stripe is a developer-oriented commerce company helping small and large companies accept web and mobile payments.,475,"San Francisco Bay Area, West Coast, Western US",,$500M to $1B,Active,2010-01-01,year,,,,,For Profit,https://stripe.com,,,39,59,27,8,1,1,,,,,,,,,,"Financial Services, Mobile, Payments, Software",2,"John Collison, Patrick Collison",1001-5000,20,,2021-06-01,,,,Venture - Series Unknown,,,,Venture - Series Unknown,2235000000,USD,2235000000,2235000000,USD,2235000000,"Google, Andreessen Horowitz, Sequoia Capital, Visa, General Catalyst",14,50,13,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,2022-04-15,2022-11-03,41
SarvaGram,https://www.crunchbase.com/organization/sarvagram,"Social, Social Entrepreneurship","Mumbai, Maharashtra, India",SarvaGram is a fintech startup offering financial and capacity-enhancing products for rural households.,476,Asia-Pacific (APAC),,$1M to $10M,Active,2018-01-01,day,,,,,For Profit,https://sarvagram.com/,,,,,,,,,,,,,,,,,,Community and Lifestyle,2,"Sameer Mishra, Utpal Isser",51-100,3,Late Stage Venture,2022-01-03,35000000,USD,35000000,Series C,35000000,USD,35000000,Series C,48978019,USD,48978019,48978019,USD,48978019,"Temasek Holdings, Elevation Capital, Elevar Equity, TVS Capital Funds",2,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
German Bionic,https://www.crunchbase.com/organization/german-bionic-systems,"Artificial Intelligence, Industrial Automation, Public Safety, Robotics, Wearables","Augsburg, Bayern, Germany",German Bionic develops smart exoskeleton technology that people can wear to augment their physical abilities.,477,European Union (EU),,,Active,2017-01-01,year,,,,,For Profit,https://www.germanbionic.com,,,,,,,,,,,,,,,,,,"Artificial Intelligence, Consumer Electronics, Data and Analytics, Government and Military, Hardware, Manufacturing, Science and Engineering, Software",4,"Armin G. Schmidt, Dirk Pöschl, Dr. Peter Heiligensetzer, Michael Halbherr",51-100,4,Early Stage Venture,2022-12-21,15000000,EUR,15928132,Debt Financing,9000000,EUR,8956623,Series A,32456623,USD,32456623,48384755,USD,48384755,"European Investment Bank, Bayern Kapital, Benhamou Global Ventures, Atlantic Labs, Samsung Catalyst Fund",3,10,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,3
Rocket Money,https://www.crunchbase.com/organization/truebill,"Billing, Finance, Financial Services, FinTech, Mobile Apps","Silver Spring, Maryland, United States","Rocket Money is a financial money app that provides bill negotiation, budgeting, autopilot savings, and credit score services.",478,"Washington DC Metro Area, East Coast, Southern US",,$10M to $50M,Active,2015-01-01,year,2021-12-20,day,,,For Profit,https://www.rocketmoney.com/,,,,,,,,,,,,,,,,,,"Apps, Financial Services, Mobile, Payments, Software",2,"Idris Mokhtarzada, Yahya Mokhtarzada",101-250,6,M&A,2021-06-01,45000000,USD,45000000,Series D,45000000,USD,45000000,Series D,83900000,USD,83900000,83900000,USD,83900000,"Cota Capital, Accel, Y Combinator, Bessemer Venture Partners, Edward Lando",4,30,,Was Acquired,Rocket Money acquired by Rocket Companies,https://www.crunchbase.com/acquisition/rocket-companies-acquires-truebill--9ca2e3ec,Rocket Companies,https://www.crunchbase.com/organization/rocket-companies,2021-12-20,day,1275000000,USD,1275000000,Acquisition,Cash,Private,,,,,,,,,,,,,,,1
Aztec,https://www.crunchbase.com/organization/aztec-protocol,"Blockchain, Ethereum, Privacy, Software","London, England, United Kingdom",Aztec develops an ethereum trading protocol that enables private transactions across the public blockchain.,479,,,,Active,2017-01-01,year,,,,,For Profit,https://aztec.network,,,1,1,,,,,,,,,,,,,,"Other, Privacy and Security, Software",3,"Joe Andrews, Thomas Pocock, Zachary Williamson",11-50,4,Early Stage Venture,2022-12-15,82000000,GBP,99964646,Series B,82000000,GBP,99964646,Series B,119064647,USD,119064647,119064647,USD,119064647,"ConsenSys, Andreessen Horowitz, Entrepreneur First, imToken, Coinbase Ventures",3,28,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
Clare,https://www.crunchbase.com/organization/clare-inc,"Consumer Goods, E-Commerce, Green Consumer Goods, Home Decor","New York, New York, United States",Clare is a paint brand that is changing the paint shopping experience for consumers.,480,"Greater New York Area, East Coast, Northeastern US","Black / African American Founded, Black / African American Led, Women Founded, Women Led",Less than $1M,Active,2018-01-01,year,,,,,For Profit,http://www.clare.com,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Real Estate, Sustainability",1,Nicole Gibbons,1-10,3,Early Stage Venture,2022-02-11,8000000,USD,8000000,Series A,8000000,USD,8000000,Series A,10000000,USD,10000000,12255000,USD,12255000,"Able Partners, First Round Capital, Pendulum Holdings, Secocha Ventures, Brooklyn Bridge Ventures",3,11,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
CARS24,https://www.crunchbase.com/organization/cars24,"Artificial Intelligence, Automotive, E-Commerce, Electrical Distribution, Marketplace","Gurgaon, Haryana, India",CARS24 offers a tech-enabled marketplace for buying and selling pre-owned cars.,481,Asia-Pacific (APAC),,$100M to $500M,Active,2015-01-01,year,,,,,For Profit,https://www.cars24.com,,,,,,,,,,,,,,,,,,"Artificial Intelligence, Commerce and Shopping, Data and Analytics, Energy, Science and Engineering, Software, Transportation",4,"Gajendra Jangid, Mehul Agrawal, Ruchit Agarwal, Vikram Chopra",1001-5000,15,Late Stage Venture,2021-12-20,22800000000,INR,300954532,Series G,22800000000,INR,300954532,Series G,1084736577,USD,1084736577,1317730249,USD,1317730249,"Tencent, Alibaba Group, 500 Global, Vivriti Capital, SoftBank Vision Fund",14,39,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2021-02-16,2022-05-19,
BYD Company,https://www.crunchbase.com/organization/byd-company,"Automotive, Manufacturing","Shenzhen, Guangdong, China","BYD is engaged in the research, development, manufacture, and distribution of automobiles, secondary rechargeable batteries and more.",482,Asia-Pacific (APAC),,$1B to $10B,Active,1995-01-01,year,2011-07-08,day,,,For Profit,https://en.byd.com,,,20,22,5,,1,1,,,,,,,,,,"Manufacturing, Transportation",1,Chuan-Fu Wang,10001+,3,IPO,2021-10-30,1770000000,USD,1770000000,Post-IPO Equity,1770000000,USD,1770000000,Post-IPO Equity,2485018900,USD,2485018900,2485018900,USD,2485018900,"Samsung Electronics, Sequoia Capital China, SDIC Venture Capital, CIC Capital Ventures",1,4,1,Made Acquisitions,,,,,,,,,,,,Delisted,2011-07-08,2022-12-29,day,,,,,,,002594,https://www.crunchbase.com/ipo/byd-company-ipo--841a2119,SZSE - Shenzhen Stock Exchange,,,3
Group14 Technologies,https://www.crunchbase.com/organization/group14-technologies,"Battery, Chemical Engineering, Electric Vehicle, Energy Storage, Nanotechnology","Woodinville, Washington, United States",Group14 Technologies is a battery storage technology company that develops silicon-carbon composite materials for lithium-ion markets.,484,"Greater Seattle Area, West Coast, Western US",,,Active,2015-01-01,year,,,,,For Profit,http://www.group14.technology,,,,,,,,,,,,,,,,,,"Energy, Science and Engineering, Transportation",3,"Aaron Feaver, Rick Costantino, Rick Luebbe",101-250,9,Late Stage Venture,2022-12-14,214000000,USD,214000000,Series C,214000000,USD,214000000,Series C,649000000,USD,649000000,756216858,USD,756216858,"US Department of Energy, Porsche, Lightrock, OMERS Ventures, Vsquared Ventures",5,19,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
Live Nation Entertainment,https://www.crunchbase.com/organization/live-nation-entertainment,"Concerts, Event Promotion, Events, Media and Entertainment, Ticketing","Beverly Hills, California, United States","Live Nation Entertainment is a producer, promoter, and seller of live concert tickets for artists and fans.",486,"Greater Los Angeles Area, West Coast, Western US",,$1B to $10B,Active,1996-01-01,year,2005-12-23,day,,,For Profit,https://www.livenationentertainment.com,,,15,18,7,2,2,2,,,,,,,,,,"Events, Media and Entertainment",1,Robert FX Sillerman,10001+,2,IPO,2023-01-09,900000000,USD,900000000,Post-IPO Debt,518000000,USD,518000000,Post-IPO Equity,518000000,USD,518000000,1418000000,USD,1418000000,Saudi Arabia's Public Investment Fund,1,1,39,Made Acquisitions,,,,,,,,,,,,Public,2005-12-23,,,,,,,,,LYV,https://www.crunchbase.com/ipo/live-nation-entertainment-ipo--a2984b5f,NYSE - New York Stock Exchange,2021-06-03,,8
Vaultree,https://www.crunchbase.com/organization/vaultree,Cyber Security,"Cork, Cork, Ireland",Vaultree develops a fully functional data-in-use encryption solution that solves persistent data encryption.,486,European Union (EU),,$1M to $10M,Active,2020-09-14,day,,,,,For Profit,https://www.vaultree.com,,,,,,,,,,,,,,,,,,"Information Technology, Privacy and Security",4,"Maxim Dressler, Ryan Lasmaili, Shaun Mc Brearty, Tilo Weigandt",11-50,3,Early Stage Venture,2022-12-19,,,,Grant,12800000,USD,12800000,Series A,16100000,USD,16100000,16100000,USD,16100000,"Molten Ventures, SentinelOne, European Innovation Council, Unpopular Ventures, Enterprise Ireland",3,11,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
Carbon,https://www.crunchbase.com/organization/carbon3d,"3D Printing, 3D Technology, Hardware, Manufacturing, Product Design","Redwood City, California, United States","Carbon is a company that provides high-tech, waste reducing 3D printing services.",487,"San Francisco Bay Area, Silicon Valley, West Coast",Women Led,$10M to $50M,Active,2013-01-01,year,,,,,For Profit,https://www.carbon3d.com,,,,,,,,,,,,,,,,,,"Design, Hardware, Manufacturing, Software",2,"Joseph M. DeSimone, Philip DeSimone",251-500,9,Late Stage Venture,2021-12-15,1350000,USD,1350000,Secondary Market,260000000,USD,260000000,Series E,682000000,USD,682000000,683350000,USD,683350000,"Temasek Holdings, Sequoia Capital, Fidelity Management and Research Company, Fidelity, FIS",9,29,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,4
hi.health,https://www.crunchbase.com/organization/hi-health,"E-Commerce, FinTech, Health Care, Health Insurance, Information Technology, InsurTech","Vienna, Wien, Austria",hi.health is the contemporary approach to digitally organized personal healthcare.,487,European Union (EU),,,Active,2018-01-01,year,,,,,For Profit,http://hi.health,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Financial Services, Health Care, Information Technology",2,"Fredrik Debong, Sebastian Gruber",11-50,4,Seed,2023-01-11,6000000,EUR,6459371,Seed,6000000,EUR,6459371,Seed,10000000,EUR,10916958,13000000,EUR,14340017,"Seedcamp, Speedinvest, Fin Capital, Nina Capital, Calm/Storm Ventures",3,8,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
Fiveable,https://www.crunchbase.com/organization/fiveable,"EdTech, Education, Secondary Education","Milwaukee, Wisconsin, United States","Fiveable is a social network platform for education that offers students learning through content, community, and courses.",489,"Great Lakes, Midwestern US","Hispanic / Latine Founded, Hispanic / Latine Led, Southeast Asian Led, Women Founded, Women Led",,Active,2018-04-06,day,,,,,For Profit,http://fiveable.me,,,,,,,,,,,,,,,,,,"Education, Software",2,"Amanda DoAmaral, Tán Ho",11-50,10,Early Stage Venture,2021-09-28,10000000,USD,10000000,Series A,10000000,USD,10000000,Series A,14957342,USD,14957342,15057342,USD,15057342,"gener8tor, Right Side Capital Management, BBG Ventures, Serena Ventures, AT&T",5,21,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
Rolls-Royce,https://www.crunchbase.com/organization/rolls-royce-plc,"Aerospace, Automotive, Energy, Information Technology, Logistics, Machinery Manufacturing, Manufacturing","London, England, United Kingdom",Rolls-Royce is an industrial technology company that provides integrated power and propulsion solutions.,490,,,$1B to $10B,Active,1906-03-15,day,1999-01-15,day,,,For Profit,http://www.rolls-royce.com,,,3,3,1,,2,2,,,,,,,,,,"Energy, Information Technology, Manufacturing, Science and Engineering, Transportation",1,Henry Royce,10001+,2,IPO,2021-11-09,195000000,GBP,264420045,Post-IPO Equity,195000000,GBP,264420045,Post-IPO Equity,195000000,GBP,264420045,265420045,USD,265420045,"United States Navy, Exelon Generation Company, BNF Resources",3,3,9,Made Acquisitions,,,,,,,,,,,,Public,1999-01-15,,,,,,,,,RR,https://www.crunchbase.com/ipo/rolls-royce-plc-ipo--17314265,LSE - London Stock Exchange,2022-07-26,2020-12-11,16
Frore Systems,https://www.crunchbase.com/organization/frore-systems,"Consumer Electronics, Manufacturing, Mechanical Engineering","San Jose, California, United States",Frore Systems is a developer of thermal technology for consumer devices.,491,"San Francisco Bay Area, Silicon Valley, West Coast",,$1M to $10M,Active,2018-01-01,year,,,,,For Profit,https://froresystems.com,,,,,,,,,,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering",2,"Seshu Madhavapeddy, Suryaprakash Ganti",11-50,3,Late Stage Venture,2022-12-01,100000000,USD,100000000,Series C,100000000,USD,100000000,Series C,100000000,USD,100000000,100000000,USD,100000000,"Alumni Ventures, Qualcomm Ventures, Addition, Clear Ventures, Mayfield Fund",2,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
